Hero Image,Details,Description,in en search,exists in en,translated,name,Excursion Link
n,n,n,y,y,n,Amatique Beach Escape,https://www.hollandamerica.com/de_DE/shore-excursions/1010059/amatique-beach-escape.html
y,n,n,y,y,y,Amazing Grace: Piraten-Hafenrundfahrt bei Old San Juan,https://www.hollandamerica.com/de_DE/shore-excursions/1010066/amazing-grace-old-san-juan-pirate-harbor-cruise.html
n,n,n,y,y,n,Amazing Secret River,https://www.hollandamerica.com/de_DE/shore-excursions/1010059/amazing-secret-river.html
n,n,n,y,y,n,America's Cup Regatta,https://www.hollandamerica.com/de_DE/shore-excursions/1010060/america-s-cup-regatta.html
y (placeholder),n,n,n,y,y,Anne und Gilbert: The Musical,https://www.hollandamerica.com/de_DE/shore-excursions/1010056/anne-gilbert-the-musical.html
n,n,n,y,y,n,Antigua Canopy Zip-Line,https://www.hollandamerica.com/de_DE/shore-excursions/1010059/antigua-canopy-zip-line.html
n,n,n,y,y,n,Aqua Thrill-Seeker,https://www.hollandamerica.com/de_DE/shore-excursions/1010059/aqua-thrill-seeker.html
n,n,n,y,y,y,Aquaspace – Glasbodenboot- und Schnorchelausflug,https://www.hollandamerica.com/de_DE/shore-excursions/1010060/aquaspace-semi-sub-marine-park-snorkel.html
n,n,n,y,y,y,Aromen und Traditionen Havannas,https://www.hollandamerica.com/de_DE/shore-excursions/1010059/flavors-traditions-of-havana.html
n,n,n,y,y,n,Aruba Certified Two Tank Scuba,https://www.hollandamerica.com/de_DE/shore-excursions/1010060/aruba-certified-two-tank-scuba.html
n,n,n,y,y,n,Aruba Sunset Cruise,https://www.hollandamerica.com/de_DE/shore-excursions/1010060/aruba-sunset-cruise.html
n,n,n,y,y,n,Aruba Town & Countryside,https://www.hollandamerica.com/de_DE/shore-excursions/1010060/aruba-town-countryside.html
n,n,n,y,y,n,Aruba by Land & Sea,https://www.hollandamerica.com/de_DE/shore-excursions/1010060/aruba-by-land-sea.html
n,n,n,y,y,y,Atlantis Aquaventure mit Mittagessen,https://www.hollandamerica.com/de_DE/shore-excursions/1010063/atlantis-aquaventure-with-lunch.html
n,n,n,y,y,n,Atlantis Odyssey Submarine,https://www.hollandamerica.com/de_DE/shore-excursions/1010059/atlantis-odyssey-submarine.html
n,n,n,y,y,n,Atlantis Submarine Expedition,https://www.hollandamerica.com/de_DE/shore-excursions/1010059/atlantis-submarine-expedition.html
n,n,n,y,y,n,Atlantis Submarine Underwater Adventure & Shipwreck Exploration,https://www.hollandamerica.com/de_DE/shore-excursions/1010060/atlantis-submarine-underwater-adventure-shipwreck-exploration.html
n,n,n,y,y,n,Atlantis Submarine at Grand Cayman,https://www.hollandamerica.com/de_DE/shore-excursions/1010059/atlantis-submarine-at-grand-cayman.html
y (placeholder),n,n,y,y,y,"Aufenthalt am Passion Island Beach, Mittagessen und malerische Kreuzfahrt",https://www.hollandamerica.com/de_DE/shore-excursions/1010061/passion-island-beach-break-lunch-scenic-cruise.html
n,n,n,y,y,y,Ausflug – Lifestyle VIP-Resort,https://www.hollandamerica.com/de_DE/shore-excursions/1010059/lifestyle-vip-resort-getaway.html
n,n,n,y,y,y,"Ausflug mit Eisenbahnfahrt (im normalen Zugabteil), Aqua-Clara-Schleusen und Busfahrt nach Colón",https://www.hollandamerica.com/de_DE/shore-excursions/1010058/panama-railroad-standard-rail-car-agua-clara-locks-motorcoach-to-colon.html
y (placeholder),n,n,y,y,y,"Ausflug mit Eisenbahnfahrt im Panoramawagen, Aqua-Clara-Schleusen und Busfahrt nach Colón",https://www.hollandamerica.com/de_DE/shore-excursions/1010057/panama-railroad-dome-car-agua-clara-locks-motorcoach-to-colon.html
