Hero Image,Details,Description,in en,translated,name,Excursion Link
n,n,n,y,n,"Over ons

",https://www.hollandamerica.com/nl_NL/shore-excursions/1010063/chinese-junk-tour.html
y,y,y,n,n,Clear Kayak & Beach Snorkel Adventure,https://www.hollandamerica.com/nl_NL/shore-excursions/1010060/clear-kayak-beach-snorkel-adventure.html
y,y,y,n,n,Coba Mayan Ruins,https://www.hollandamerica.com/nl_NL/shore-excursions/1010059/coba-mayan-ruins.html
y,y,y,y,y,Combinatie Peggy's Cove En Titanic,https://www.hollandamerica.com/nl_NL/shore-excursions/1010056/peggy-s-cove-titanic-combination.html
y,y,y,n,n,Costa Maya Beach Snorkel,https://www.hollandamerica.com/nl_NL/shore-excursions/1010059/costa-maya-beach-snorkel.html
y,y,y,n,n,Cozumel Certified Two-Tank Scuba Diving,https://www.hollandamerica.com/nl_NL/shore-excursions/1010060/cozumel-certified-two-tank-scuba-diving.html
y,y,y,n,n,Cozumel Country Club Golf,https://www.hollandamerica.com/nl_NL/shore-excursions/1010059/cozumel-country-club-golf.html
y,y,y,n,n,Cozumel Discover Scuba Diving,https://www.hollandamerica.com/nl_NL/shore-excursions/1010060/cozumel-discover-scuba-diving.html
y,y,y,n,n,Cozumel Highlights & Shopping,https://www.hollandamerica.com/nl_NL/shore-excursions/1010059/cozumel-highlights-shopping.html
y,y,y,n,n,Cozumel Private Touring - Full Day (Van),https://www.hollandamerica.com/nl_NL/shore-excursions/1010059/cozumel-private-touring-full-day-van.html
y,y,y,n,n,Cozumel Private Touring - Half Day (Van),https://www.hollandamerica.com/nl_NL/shore-excursions/1010059/cozumel-private-touring-half-day-van.html
y,y,y,n,n,Cozumel By Land & Sea,https://www.hollandamerica.com/nl_NL/shore-excursions/1010059/cozumel-by-land-sea.html
n,y,y,n,y,Cruise With Purpose: Cozumel Actieve Rifrestoratie,https://www.hollandamerica.com/nl_NL/shore-excursions/1010068/cruise-with-purpose-cozumel-active-reef-restoration.html
y,y,y,n,y,Culinaire Tradities Van Cuba,https://www.hollandamerica.com/nl_NL/shore-excursions/1010059/culinary-traditions-of-cuba.html
n,y,y,y,y,Culinaire Wandeling Door Portland: In Samenwerking Met Food & Wine Magazine,https://www.hollandamerica.com/nl_NL/shore-excursions/1010067/a-culinary-walk-through-portland-in-partnership-with-food-wine-magazine.html
y,y,y,y,y,Culinaire Wandeltocht Quebec City: In Samenwerking Met Food & Wine Magazine,https://www.hollandamerica.com/nl_NL/shore-excursions/1010063/quebec-city-culinary-walk-in-partnership-with-food-wine-magazine.html
y,y,y,n,y,Dagpas Voor Discover Mexico Park En Chankanaab Nationaal Park,https://www.hollandamerica.com/nl_NL/shore-excursions/1010059/discover-mexico-park-chankanaab-national-park-day-pass.html
y,y,y,y,y,De Bra's D'Or Lakes: Hart Van Het Eiland,https://www.hollandamerica.com/nl_NL/shore-excursions/1010056/the-bra-s-d-or-lakes-heart-of-the-island.html
y,y,y,y,y,De Freedom Trail Bewandelen,https://www.hollandamerica.com/nl_NL/shore-excursions/1010056/walking-the-freedom-trail.html
n,y,y,n,y,De Gouden Cirkel Is Bereikbaar Met Een Privé-Busje,https://www.hollandamerica.com/nl_NL/shore-excursions/1010061/the-golden-circle-by-private-accessible-van.html
y,y,y,n,y,De Maya-Ruïnes Van Kohunlich,https://www.hollandamerica.com/nl_NL/shore-excursions/1010059/kohunlich-mayan-ruins.html
n,y,y,n,y,De Maya-Ruïnes Van Kohunlich En Dzibanche,https://www.hollandamerica.com/nl_NL/shore-excursions/1010066/kohunlich-dzibanche-mayan-ruins.html
n,y,y,n,y,De Afgelegen Straatjes Van Isafjordur,https://www.hollandamerica.com/nl_NL/shore-excursions/1010061/the-back-streets-of-isafjordur.html
n,y,y,n,y,De Gouden Cirkel En Paardenshow,https://www.hollandamerica.com/nl_NL/shore-excursions/1010061/golden-circle-horse-show.html
y,y,y,y,y,De Hoogtepunten Van Boston Per Duck,https://www.hollandamerica.com/nl_NL/shore-excursions/1010056/boston-highlights-by-duck.html
n,y,y,y,y,"De Vogeleilanden Van Cape Breton: Papegaaiduikers, Zeehonden En Arenden",https://www.hollandamerica.com/nl_NL/shore-excursions/1010066/the-bird-islands-of-cape-breton-puffins-seals-eagles.html
y,y,y,y,y,De Ziel Van De Viool: Kitchen Party Experience,https://www.hollandamerica.com/nl_NL/shore-excursions/1010056/spirit-of-the-fiddle-kitchen-party-experience.html
n,y,y,n,n,Deep-Sea Fishing,https://www.hollandamerica.com/nl_NL/shore-excursions/1010059/deep-sea-fishing.html
y,y,y,n,n,Discover Scuba Dive & Mahahual Beach Experience,https://www.hollandamerica.com/nl_NL/shore-excursions/1010059/discover-scuba-dive-mahahual-beach-experience.html
y,y,y,y,y,Disney's Magische Koninkrijk,https://www.hollandamerica.com/nl_NL/shore-excursions/1010060/disney-s-magic-kingdom.html
n,y,y,y,y,"Dolfijnen, Zeekoeien & Alligators",https://www.hollandamerica.com/nl_NL/shore-excursions/1010060/dolphins-manatees-alligators.html
y,y,y,n,y,Ontmoeting Met Dolfijnen,https://www.hollandamerica.com/nl_NL/shore-excursions/1010059/dolphin-encounter.html
y,y,y,n,n,Dolphin Encounter All Inclusive,https://www.hollandamerica.com/nl_NL/shore-excursions/1010060/dolphin-encounter-all-inclusive.html
